"video_id","local_path","bytes","gcs_uri","error","candidate_video_id","candidate_channel","candidate_channel_id","manifest"
"84bcc4BwEW8","gcs_upload_staging\archive_thumbnails\84bcc4BwEW8.jpg","111527","gs://senior-share-staging-570862915709/naresome_thumbnails/84bcc4BwEW8.jpg","","DxnjFG2DUyY","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8HfN7bcaOv8","gcs_upload_staging\archive_thumbnails\8HfN7bcaOv8.jpg","109003","gs://senior-share-staging-570862915709/naresome_thumbnails/8HfN7bcaOv8.jpg","","rWh8eE0Yu7A","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8IOGTnyVqvs","gcs_upload_staging\archive_thumbnails\8IOGTnyVqvs.jpg","125665","gs://senior-share-staging-570862915709/naresome_thumbnails/8IOGTnyVqvs.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"8mE41lO32GM","gcs_upload_staging\archive_thumbnails\8mE41lO32GM.jpg","124334","gs://senior-share-staging-570862915709/naresome_thumbnails/8mE41lO32GM.jpg","","7m1Ob7csgdc","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8RROfaqTsOI","gcs_upload_staging\archive_thumbnails\8RROfaqTsOI.jpg","106872","gs://senior-share-staging-570862915709/naresome_thumbnails/8RROfaqTsOI.jpg","","VgDWzusBKJ8","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8szmA0b74NE","gcs_upload_staging\archive_thumbnails\8szmA0b74NE.jpg","104894","gs://senior-share-staging-570862915709/naresome_thumbnails/8szmA0b74NE.jpg","","Mwd8sySOPR4","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8VJZWqTSisg","gcs_upload_staging\archive_thumbnails\8VJZWqTSisg.jpg","103699","gs://senior-share-staging-570862915709/naresome_thumbnails/8VJZWqTSisg.jpg","","uWCYsr37pZg","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8xhTGEYGVdg","gcs_upload_staging\archive_thumbnails\8xhTGEYGVdg.jpg","116672","gs://senior-share-staging-570862915709/naresome_thumbnails/8xhTGEYGVdg.jpg","","4sMLnVxDJwM","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8xKPpOcInfs","gcs_upload_staging\archive_thumbnails\8xKPpOcInfs.jpg","109201","gs://senior-share-staging-570862915709/naresome_thumbnails/8xKPpOcInfs.jpg","","wLXT7VhzUTI","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"8ZtkPPFUdc4","gcs_upload_staging\archive_thumbnails\8ZtkPPFUdc4.jpg","115831","gs://senior-share-staging-570862915709/naresome_thumbnails/8ZtkPPFUdc4.jpg","","ZBc1cAxNKTg","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"9D-lY73gGJc","gcs_upload_staging\archive_thumbnails\9D-lY73gGJc.jpg","128337","gs://senior-share-staging-570862915709/naresome_thumbnails/9D-lY73gGJc.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"9NQ-CNFOEgI","gcs_upload_staging\archive_thumbnails\9NQ-CNFOEgI.jpg","117397","gs://senior-share-staging-570862915709/naresome_thumbnails/9NQ-CNFOEgI.jpg","","5UcQsE-myjw","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"9TXi8H6niyo","gcs_upload_staging\archive_thumbnails\9TXi8H6niyo.jpg","112840","gs://senior-share-staging-570862915709/naresome_thumbnails/9TXi8H6niyo.jpg","","XAfakP_nyOI","wail22 alfadil","UCOPTB7tQ61unkta781Hk9FA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"9UBCEhrV4K8","gcs_upload_staging\archive_thumbnails\9UBCEhrV4K8.jpg","111232","gs://senior-share-staging-570862915709/naresome_thumbnails/9UBCEhrV4K8.jpg","","Jyo4zuHVRzI","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"-9UXAvjFwps","gcs_upload_staging\archive_thumbnails\-9UXAvjFwps.jpg","128139","gs://senior-share-staging-570862915709/naresome_thumbnails/-9UXAvjFwps.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"a0QL2ezCIMY","gcs_upload_staging\archive_thumbnails\a0QL2ezCIMY.jpg","123051","gs://senior-share-staging-570862915709/naresome_thumbnails/a0QL2ezCIMY.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"a1pKZFdACCM","gcs_upload_staging\archive_thumbnails\a1pKZFdACCM.jpg","125611","gs://senior-share-staging-570862915709/naresome_thumbnails/a1pKZFdACCM.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"a2YC5n0nGO0","gcs_upload_staging\archive_thumbnails\a2YC5n0nGO0.jpg","119006","gs://senior-share-staging-570862915709/naresome_thumbnails/a2YC5n0nGO0.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"a4_T7P7FJAo","gcs_upload_staging\archive_thumbnails\a4_T7P7FJAo.jpg","115624","gs://senior-share-staging-570862915709/naresome_thumbnails/a4_T7P7FJAo.jpg","","lYJ7rVpNcbk","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"a7K6I3fO4gw","gcs_upload_staging\archive_thumbnails\a7K6I3fO4gw.jpg","115339","gs://senior-share-staging-570862915709/naresome_thumbnails/a7K6I3fO4gw.jpg","","yzsE-EGBT7I","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"a9IT706ZsGA","gcs_upload_staging\archive_thumbnails\a9IT706ZsGA.jpg","116489","gs://senior-share-staging-570862915709/naresome_thumbnails/a9IT706ZsGA.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
