video_id,local_path,bytes,gcs_uri,error
-leqbr6fm_0,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-leqbr6fm_0.jpg,267868,gs://senior-share-staging-570862915709/naresome_thumbnails/-leqbr6fm_0.jpg,
-mRbwV1UsHI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-mRbwV1UsHI.jpg,241719,gs://senior-share-staging-570862915709/naresome_thumbnails/-mRbwV1UsHI.jpg,
-pcpBf5c3J0,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-pcpBf5c3J0.jpg,254412,gs://senior-share-staging-570862915709/naresome_thumbnails/-pcpBf5c3J0.jpg,
-rmqdcHNqfI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-rmqdcHNqfI.jpg,263595,gs://senior-share-staging-570862915709/naresome_thumbnails/-rmqdcHNqfI.jpg,
-s4mB8-Knug,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-s4mB8-Knug.jpg,260617,gs://senior-share-staging-570862915709/naresome_thumbnails/-s4mB8-Knug.jpg,
-sfy_xHMeis,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-sfy_xHMeis.jpg,273499,gs://senior-share-staging-570862915709/naresome_thumbnails/-sfy_xHMeis.jpg,
-svCCdAuOVY,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-svCCdAuOVY.jpg,270295,gs://senior-share-staging-570862915709/naresome_thumbnails/-svCCdAuOVY.jpg,
-uHUoLb523I,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-uHUoLb523I.jpg,296845,gs://senior-share-staging-570862915709/naresome_thumbnails/-uHUoLb523I.jpg,
-w7HKIESe9A,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-w7HKIESe9A.jpg,253092,gs://senior-share-staging-570862915709/naresome_thumbnails/-w7HKIESe9A.jpg,
-wcBPRc_M-o,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-wcBPRc_M-o.jpg,322314,gs://senior-share-staging-570862915709/naresome_thumbnails/-wcBPRc_M-o.jpg,
-wgokGoxUFw,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-wgokGoxUFw.jpg,265604,gs://senior-share-staging-570862915709/naresome_thumbnails/-wgokGoxUFw.jpg,
-zF7bXbFNeQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-zF7bXbFNeQ.jpg,263204,gs://senior-share-staging-570862915709/naresome_thumbnails/-zF7bXbFNeQ.jpg,
0-oEapeYMq4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\0-oEapeYMq4.jpg,246821,gs://senior-share-staging-570862915709/naresome_thumbnails/0-oEapeYMq4.jpg,
00C3hwB_63w,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\00C3hwB_63w.jpg,236625,gs://senior-share-staging-570862915709/naresome_thumbnails/00C3hwB_63w.jpg,
00f-HnMyFXE,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\00f-HnMyFXE.jpg,277628,gs://senior-share-staging-570862915709/naresome_thumbnails/00f-HnMyFXE.jpg,
0171VpXdYe8,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\0171VpXdYe8.jpg,260234,gs://senior-share-staging-570862915709/naresome_thumbnails/0171VpXdYe8.jpg,
01webnFcp9Y,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\01webnFcp9Y.jpg,234359,gs://senior-share-staging-570862915709/naresome_thumbnails/01webnFcp9Y.jpg,
02HrMH8WeCM,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\02HrMH8WeCM.jpg,235637,gs://senior-share-staging-570862915709/naresome_thumbnails/02HrMH8WeCM.jpg,
02dQrpyti40,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\02dQrpyti40.jpg,300956,gs://senior-share-staging-570862915709/naresome_thumbnails/02dQrpyti40.jpg,
03G8v7QhTCc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\03G8v7QhTCc.jpg,262250,gs://senior-share-staging-570862915709/naresome_thumbnails/03G8v7QhTCc.jpg,
03KgqY69LYk,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\03KgqY69LYk.jpg,249626,gs://senior-share-staging-570862915709/naresome_thumbnails/03KgqY69LYk.jpg,
03NvYIi3vic,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\03NvYIi3vic.jpg,270428,gs://senior-share-staging-570862915709/naresome_thumbnails/03NvYIi3vic.jpg,
03qQq-0fEZ4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\03qQq-0fEZ4.jpg,251115,gs://senior-share-staging-570862915709/naresome_thumbnails/03qQq-0fEZ4.jpg,
05-WiNhw2j8,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\05-WiNhw2j8.jpg,261184,gs://senior-share-staging-570862915709/naresome_thumbnails/05-WiNhw2j8.jpg,
055X583qaYg,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\055X583qaYg.jpg,254272,gs://senior-share-staging-570862915709/naresome_thumbnails/055X583qaYg.jpg,
06RVNnn2piE,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\06RVNnn2piE.jpg,277765,gs://senior-share-staging-570862915709/naresome_thumbnails/06RVNnn2piE.jpg,
